,sentence,aspect
0,I purchased this case,4
1,because it looked very functional...,4
2,To my surprise the rivets popped out and the zipper broke about two weeks into it's use.,7
3,I have never been disappointed by a Sampsonite product until now.,4
4,I have written to them,1
5,and received no communication in return!,1
6,I bought,4
7,this case for Dell Inspiron E1505,4
8,(15. 4 ''),4
9,screen.,4
10,It was way too small.,8
11,"This case has an inner pocket,",0
12,which is the actual spot for the laptop,4
13,to slip in.,4
14,I will say,4
15,it can only fit a 14 '' screen.,8
16,I ended up,4
17,"putting my laptop outside the inner pocket,",8
18,which barely fit.,8
19,I wish,4
20,the manufacturer noticed this problem and not listed for any 15 '' + screens.,4
21,"The case itself looks pretty high quality,",7
22,but it's too thin.,8
23,Getting the laptop in and out of the case is a huge hassle,8
24,requiring both hands and lots,4
25,of pulling.,4
26,I have a 15. 4 '' Widescreen Dell Dimensions 1501.,4
27,"It fits in there snug,",8
28,"but as I stated above, getting the computer in and out is pain",8
29,"(my wife is trying to convince me to return it,",4
30,"but I'm too lazy,",4
31,I think,4
32,we'll just keep it).,4
33,"Also,",4
34,"if you have a wireless mouse,",8
35,it bulges out.,8
36,"Again, it has to do with the case",8
37,being so thin.,8
38,To some this characteristic may be very desirable,4
39,"because the case is very low profile,",4
40,but,4
41,if you have perfiferals like a wireless mouse or a A/C adapter,4
42,"that is more than an inch thick,",4
43,it bulges out.,4
44,"There's padding, of course,",6
45,so your periferals probably will not be damaged...,6
46,it just looks kinda funny.,3
47,Functionality wise : awesome!,4
48,"Has room for a lot of stuff,",8
49,"and keeps the computer really protected,",6
50,and that's the most important feature a case,4
51,like that can have.,4
52,"Doesn't look shiny and fancy, though,",3
53,and it's something,4
54,I look,4
55,for in everything I buy.,4
56,"But it varies from a person to another, obviously.",4
57,Anyway I recommend.,4
58,Very happy with the Samsonite L35 Notebook Case.,4
59,Fits my MacBook with plenty of room.,8
60,"Lots of pokets for my mouse, mouse pad, and accessories.",0
61,Just the right size,8
62,for what I wanted.,4
63,"Nice looking, and well built.",7
64,I purchased this rolling bag about six months ago.,4
65,I travel frequently for work,4
66,and depend on this bag,4
67,to get me through airports and into and out of schools.,4
68,The telescoping handle,2
69,stopped retracting about a month ago,2
70,and an airline agent showed me how to push the little button in the rear compartment,4
71,to free the mechanism.,4
72,Picture lots of people,4
73,waiting as I unzipped the bag,4
74,"to fool with the handle on shuttle buses, in airline aisles, etc..",4
75,Then last week,4
76,the black plastic handle,2
77,that is supposed to cradle inside the other handle,2
78,snapped off the bag,2
79,as a bus driver lifted it.,4
80,I am going to contact Kensington about a refund,4
81,because the bag is still under warrantee.,4
82,I do not want a replacement,4
83,unless the bag has been redesigned.,4
84,I really liked that vertical design of this bag,8
85,because it could be pulled down aisles in planes.,4
86,I've used this once,4
87,and it really didn't meet my expectations.,4
88,I've been,4
89,looking for a carry on bag,4
90,that works for me,4
91,and this isn't it.,4
92,"Besides that, it's already",7
93,starting to fall apart.,7
94,There were several things,4
95,I liked about this bag.,4
96,Shoe storage on each side of the handle is a smart use of space.,0
97,The pockets made sense as well.,0
98,So nice organization in this bag I returned it,4
99,because I just didn't like the look,3
100,and needed more room for clothing and less for files.,0
101,This bag might be better suited to men then women.,4
102,Just personal preference.,4
103,I needed a laptop bag with wheels,4
104,since I was tired of carrying around my heavy bookbag at the airport,4
105,"... this one is great,",4
106,"so many compartments,",0
107,"the wide-set wheels help prevent it from tipping over,",4
108,and the handle is comfortable.,2
109,"My only complaint is the finishing strip on the back side at the base came off very quickly,",7
110,but I didn't really care that much.,4
111,I 've,4
112,been looking for a carry-on bag,4
113,"that would accommodate my laptop, some clothing and personnel items.",4
114,This is a well made bag,7
115,and is a dream to roll thru the airport.,4
116,It has many little compartments to pack almost anything.,0
117,A separate center compartment unzips to pull out the laptop for security at the airport.,0
118,I had been using a laptop backpack,4
119,to carry my computer and peripherals,4
120,which got extremely heavy after long periods,4
121,of hauling around.,4
122,The price is great,5
123,compared to other bags with these same features.,5
124,First time I have,4
125,been dissappointed with a product from Amazon.,4
126,Appearantly others are,4
127,having the same problem with a 17 '' laptop not fitting in the compartment.,8
128,My laptop is a standard size in the market.,4
129,The bag may look good,3
130,but that doesn't help if laptop doesn't fit.,8
131,Totally dissappointed with SwissGear and Amazon.,1
132,Like a dummy I ordered it after reading,4
133,that it doesn't fit some of the 17 '' models.,8
134,I have an HP,4
135,and it doesnt fit.,8
136,On the plus side it does have a lot of nooks and crannies to put stuff in.,0
137,Just disappointed to find out my laptop doesn't fit.,8
138,Need to leave it unzipped.,4
139,Just build it a tad bit bigger,8
140,and send my one for my idea.,4
141,You'll have the best on the market!,4
142,Nice try ` eh,4
143,I was really excited to get this backpack,4
144,because I had been carefully searching for a backpack,4
145,that had to fit my 17 inch laptop.,8
146,I received my SwissGear backpack,4
147,"and really loved all of the pockets, padded straps,",2
148,all the compartments,0
149,it had,4
150,and the durability of the fabric and the price was right.,5
151,"In the stores, this backpack would have been at least double the price.",5
152,"But,",4
153,when I tried to fit my laptop in the compartment,8
154,"it was supposed to go in,",8
155,it didn't fit.,8
156,I was really disappointed,4
157,because everything else about this backpack was really nice.,4
158,I was able to fit it in another compartment,8
159,"which fits snug,",8
160,but it doesn't have the padding or strap,2
161,that is supposed,4
162,to hold it in place.,4
163,I did decide to just keep the backpack,4
164,because of all of it's other features and other uses,4
165,I have for it and it's ability,0
166,to hold my laptop in another compartment.,0
167,My 15. 6 '' HP Pavilion dv6-1360US,4
168,(14. 9 `` X10. 15 `` X1.33 ''),4
169,barely fit inside the protective slot for laptop in this bag!,8
170,"When I put my laptop in the protective slot,",8
171,"the laptop get very close to the zipper,",8
172,and the laptop pushes against the top of the bag,8
173,(I can see laptop corners through the bag).,8
174,I have to be VERY careful to zip it to make sure,8
175,that the zipper does not scratch my laptop.,8
176,I am a little worried,4
177,about carrying weight in the bag,4
178,because it will press against the laptop.,4
179,The bag does have a bigger space by the protective slot.,6
180,"It is big enough for my laptop,",8
181,but does not have any cushion on the sides,4
182,(there is a little cushion at the bottom).,4
183,I may put my laptop here,4
184,by adding some cushion,4
185,if I feel too uncomfortable,4
186,about putting my laptop in the protective slot.,4
187,"Other than this, the bag appears to be rugged and well made.",7
188,We initially had trouble,4
189,unzipping the bag,4
190,because some zipper teeth were not aligned.,4
191,But,4
192,"after we pushed them in,",4
193,it works fine.,4
194,"As other reviewers noticed,",4
195,the mp3 slot is inside the bag.,0
196,Don't know how useful that it.,0
197,This is a well constructed product,7
198,made of quality materials.,7
199,The color is a true red,3
200,as I thought,4
201,it would be,4
202,and not a hot pink as it appears in the ad.,3
203,I have read a lot of different opinions,4
204,about what size laptop fits in it.,8
205,I have a Sony Vaio,4
206,that measures 15?1/8 inches long,4
207,and it fits nicely.,8
208,I'm not sure,8
209,that it would fit,8
210,if it were much longer.,8
211,It has many pockets for just about anything,0
212,you might want to carry,0
213,while traveling.,0
214,Not sure,4
215,why I had to pay more for it than the blue or black?,5
216,Crap.,4
217,"The "" leather "" is already peeling,",7
218,and the straps are small..,2
219,I can barely sling it over my shoulder.,2
220,It will fit a lap top.. and that is about it.,8
221,Head to TJ Maxx/Ross,4
222,and find something better,4
223,"This is a nice big bag, and super cheap,",5
224,but I wanted something,4
225,that wasn't so obviously plastic.,7
226,I also didn't like the stitching.,7
227,Just looked cheap.,7
228,Sent it back.,4
229,"Decently sized bag, a bit taller",8
230,than I had anticipated.,8
231,Serves its purpose just fine,4
232,and I'm content with the look of it.,3
233,The biggest problem is the straps.,2
234,They're made from some sort of really stiff material.,2
235,You can easily scrape/burn yourself,2
236,"if you're not careful,",2
237,or it'll hurt,2
238,if it digs into your shoulder the wrong way.,2
239,Like others,4
240,"have mentioned, it does smell.",4
241,Protip : Do not leave a ziploc of crackers in there for more than a day or two.,4
242,It will acquire the smelly essence of this bag,4
243,when you later retrieve it.,4
244,"You will taste it,",4
245,and you will not like it.,4
246,It looks exactly like the picture,3
247,and works great.,4
248,Has a couple pockets,0
