,sentence,aspect
0,This product does not keep a charge very long and cuts off continually.,0
1,The earpiece is very uncomfortable.,1
2,"Even at such a cheap price,",7
3,it was not a good investment.,6
4,I only used it for a couple of days,6
5,and gave up.,6
6,Save your money,6
7,and buy a better brand.,6
8,"Well, I went ahead",6
9,and bought this at the reduced price.,6
10,It was good at first and,6
11,then other people were having problems,8
12,hearing me,8
13,and I was misunderstood because of this headset.,8
14,"Thankfully, it wasn't one of my important calls",6
15,and just resulted in a bit of confusion between that person and me.,6
16,I am returning this product,6
17,because it is just not worth it to me,6
18,if the other person can not hear me properly.,8
19,I do like the design of it and the fact,5
20,that you get to choose,1
21,how you place it in your ear.,1
22,I don't care about it otherwise.,6
23,No problem setting the unit up with my Moto phone.,2
24,But nobody could hear me,8
25,when I used the headset.,8
26,"Maybe I'm expecting too much,",6
27,"since this is my first try at a Bluetooth headset,",6
28,but IMO it's useless.,6
29,This is my first bluetooth headset.,6
30,I must say,6
31,it works great with my Motorola V360 cell phone.,6
32,"I get good sound quality,",8
33,and people can hear me very clearly.,8
34,"Judging from all the other reviews say,",6
35,I must be one of the lucky ones,6
36,that has an ear,6
37,made for this headset.,6
38,"It fits great in my ear,",1
39,and the over the ear piece is just right for me.,1
40,I can wear it around for an extended period of time,1
41,and it's not uncomfortable.,1
42,Battery life seems to be very good on it as well.,0
43,I don't know,6
44,why you'd pay $ 50 + for a headset,7
45,when this one works so well for so much less.,7
46,"For the money, this is a great little addition to your bluetooth enhancement on your cell phone.",7
47,Beats a wired ear plug.,6
48,Just follow the instructions and off you go.,6
49,Make sure,6
50,you pair up the two as instructed for Bluetooth 1. 2.,2
51,Why pay 60 bucks or more for one,7
52,when you can get this for 20?,7
53,This is a good product so far.,6
54,"The item is well made,",3
55,the fit is,1
56,"c omfortable but the sound quality is extremely poor, anytime I received a incoming call",8
57,the party on the other end had great difficulity,8
58,hearing me.,8
59,I was extremely dissapointed with this motorrola headset,6
60,after owning several in the past.,6
61,I owned one of these headsets for five years,6
62,and it was fantastic!,6
63,Never had problems,6
64,"keeping the charge,",0
65,"always worked,",6
66,always warned me,0
67,when it was about to lose its charge.,0
68,It finally wore out like all electronics do,3
69,so I purchased a new one.,6
70,This one is terrible.,6
71,It won't always link with the phone.,2
72,People complain,8
73,that they can't hear me.,8
74,It doesn't warn me,0
75,"when it's about to lose its charge,",0
76,just shuts off.,0
77,I would not recommend this headset to anyone.,6
78,Seller service is excellent!,6
79,Speedy delivery.,6
80,I would buy from them again.,6
81,Product :,6
82,It is decent for my BB-Tour.,6
83,Sound quality is selective.,8
84,Some days are better than others.,8
85,I have had lower numbered models,6
86,that work much better.,6
87,Fits the ear nicely.,1
88,Good for general driving usage.,6
89,If you are looking for something,6
90,to conduct business or you,6
91,need a high quality bluetooth.,6
92,Investigate other models.,6
93,"This Motorola H700 Bluetooth Headset is very light, compact",5
94,"(fits in the smallest purse),",6
95,and comfortable.,1
96,I've had this product for a few weeks now,6
97,"and I am very satisfied with its performance, in fact",6
98,it is so comfortable,1
99,that I forget,1
100,that I am wearing it.,1
101,The sound quality is good,8
102,and it works very well with my Motorola phone and its features.,2
103,I would recommend this product to anyone,6
104,who wants a headset,6
105,that works well,6
106,and is easy on your wallet.,7
107,"I have owned my H700 for several years,",6
108,paired it with a Carbo unit,2
109,"attached to a non bluetooh phone, a Razr, and a Blackberry with excelent results in every case.",2
110,I have left it alone in a drawer for several months at one point,6
111,(actuially `` lost '',6
112,it for awhile),6
113,and have been,6
