,sentence,aspect
0,Yes they have a steal toe,4
1,but they have a tag on them,5
2,that reads `` IMPORTANT WARNINGTheae shoes,5
3,(boots) have,5
4,"been designed and manufactured as, and, for use as FASHION FOOTWEAR ONLY.",4
5,"They are not for use as safety footwear,",4
6,and should not under any circumstances be worn as safety footwear... `` A warning is also stitched into the inside of the boot near the heal,4
7,that reads `` NON-SAFTY FOOTEAR `` I am a little,5
8,let down that this fact is not listed in the products description.,5
9,The reason I purchased these boots for work,5
10,and they do not meet the required safety standard.,5
11,I got,5
12,black ankle high boots like I wore back in the 90 's..,5
13,These don't come close to the quality,4
14,they had,5
15,when they were made in UK..,5
16,"Just like everything else, cheaply made shoe from China.",5
17,Leather is very thin & sole,4
18,is super soft unlike the way they were made.,4
19,They are okay boots but very sad to see quality going into the crapper along with everything,5
20,now made in China..,5
21,I'd pay $ 200. 00 for quality boots vs. $ 125. 00 for junk..,6
22,"so I order this shoe is such high hopes,",5
23,shipping was fast so thats a plus.,5
24,Now my issue,4
25,with this boots were,4
26,that they came,4
27,without any type of cushioning???,4
28,I didn't cared much but,5
29,after I tried them on i,5
30,heard a horrible squeak,5
31,coming out of them.,5
32,I concluded,5
33,that the tongue was the issue. anyways,4
34,i returned them for a pair of DR Martens Saltaire,5
35,ST boots.,5
36,This was 2 years ago so,5
37,hopefully this classic boots changed that.,5
38,I purchased the black steel toe boots.,5
39,"When they arrived,",5
40,the little piece inside the shoe,5
41,that goes at the heel,5
42,had fallen off.,2
43,There was some dried glue,4
44,where it was supposed to have been.,5
45,I just stuck it back but seriously?,5
46,I was sort of disappointed,5
47,but other than,5
48,that the boots were in good condition.,5
49,They are comfortable,1
50,after breaking them in!,1
51,Got these bad boys for Christmas.,5
52,Took awhile to break them in,5
53,but am so glad,5
54,I did.,5
55,"Very comfortable,",1
56,and I also feel tough with the steel toe.,5
57,Good for the snow too.,8
58,Would recommend for anyone,5
59,who wants traditional and sturdy Dr. Martens.,2
60,I guess,5
61,"I thought the name "" lasticity "" and the description of the stretch of this boot,",5
62,led me to believe,5
63,that it would fit a wider calf.,1
64,I could not even zip this boot up,1
65,and it did not have much stretch to it at all!,1
66,"I have about a 17 "" calf so for those of you",5
67,ladies with larger calf sizes...,5
68,this boot is not for you!,5
69,"It also appears to be a taller boot,",3
70,but I would say,3
71,it is barely mid-calf.,3
72,"Otherwise, it is a nice looking boot for the price.",6
73,Disappointed!,5
74,I learned the hard way,5
75,"that the brand name "" Aerosoles "" does not always mean comfort.",1
76,I loved the style,3
77,and tried to use shoe stretch spray,5
78,and wear multiple socks,5
79,to loosen the grip of the shoe around the width of my feet for a week or so to no avail.,1
80,"Also, the sole of the boot was very rigid and unforgiving to the the arches of my feet, thus major uncomfort",1
81,pursued my body.,1
82,"These boots have a sturdy, comfortable sole with a heel",1
83,that is easy to walk on,1
84,"and ample toe room,",7
85,"but beyond that, I am disappointed.",5
86,The material is very thin and flimsy,4
87,(don't expect the shaft,5
88,to hold up,5
89,like it does in the picture,5
90,"-- it sagged and wrinkled on my thin calves,",5
91,leaving a huge gap between the shaft and my leg).,5
92,"In short,",5
93,if you 're,5
94,"looking for comfort, affordability,",6
95,and have the calves,5
96,"to fill these out,",5
97,they are a reasonably attractive boot.,3
98,But don't expect anything beyond that.,5
99,"Given the thin quality of the material,",4
100,I doubt,2
101,these boots would last long.,2
102,I really love the boots mainly,5
103,because the bottom of the boots have traction for bad weather,8
104,which is one of the things,5
105,I was looking for.,5
106,"They also fit my small calves,",1
107,I have a little room,5
108,but that is okay.,5
109,And they have a little shine,3
110,that is natural,3
111,and I like that.,5
112,They are really comfortable,1
113,and I can wear them to work and not have to take them off all day.,1
114,I have worn them a lot since I purchased them because of the weather here in D.C.,8
115,(cold/snow/wet).,8
116,They are one of my best purchases.,5
117,Thank you.,5
118,I bought these boots,5
119,to wear to my job as a high school teacher.,5
120,I read many reviews,5
121,touting the comfort of these boots,1
122,and they were not lying.,1
123,I have worn them all day -,1
124,I mean from 7 AM until 9PM -,5
125,and my feet do not hurt at all.,1
126,"The soles are not hard either,",4
127,which helps in the Maine winter.,8
128,They do not slide easily as many soles tend to do on snow.,8
129,I would buy these boots again.,5
130,"They fit snuggly around the heel and leg,",1
131,but not too much so.,1
132,"Just enough to stay up,",5
133,I think.,5
134,Some reviews indicated,5
135,they were a bit tight ;,5
136,"however, I have no issues.",5
137,"I am not overweight,",5
138,but have athletic calves.,5
139,They fit me fine.,1
140,Great boots for the money!,6
141,"They look great,",3
142,but are very uncomfortable.,1
143,"While generally bigger overall,",5
144,the area around the ball of the foot is not comfortable.,1
145,"Also, there are pieces",5
146,inside that are very scratchy and make them not wearable.,1
147,I have several pairs of Jambu shoes,5
148,and love them.,5
149,I've always worn my normal size,7
150,(7).,5
151,I think,5
152,the low sides in this shoe is what make it too big.,7
153,It is way too sloppy for my foot.,1
154,"Also the red is not a bright red, but more of a rust.",0
155,"Could be a cute shoe,",3
156,but not for me.,5
157,Exchanging for a different style.,5
158,"Very cute shoes, though they seem to run a bit wide.",3
159,I don't know,5
160,if they need,5
161,broken in,5
162,or what but they gave me a blister on my heel and the start of a blister above my big toe...,1
163,and I only had them on for an hour just to run to the store,5
164,and come home.,5
165,They seem to be well made they just fit kinda funny.,1
166,I really like this shoe.,5
167,"It is to wide for my feet,",5
168,but because their a mary jane I can still make them work.,5
169,I wore them,5
170,the other dayand,5
171,they were very comfortable.,1
172,saw these advertised in a magazine.,5
173,Was looking for a good comfortable pair of walking shoes.,1
174,These are perfect.,5
175,"Fit as expected, true to size and extremely comfortable.",1
176,Nice looking shoes.,3
177,"These boots look good and fit great,",1
178,they have a nice thick sole with good tread.,4
179,I thought,5
180,I had finally found the perfect pair of boots.,5
181,Then the second time,8
182,I wore them both feet,8
183,leaked.,8
184,What's the point of rainboots,8
185,that don't keep your feet dry??,8
186,BIG waste of money.,6
187,Next time I'm going to LL Bean.,5
188,"So, I bought these shoes",5
189,and they were fine.,5
190,"Hardly wore them,",5
191,but it's been two years,5
192,and I had to go back to my reliable LL Beane duck boots,5
193,because these Chooka's split,2
194,after sitting in a humidified room for two years.,8
195,Buyer beware.,5
196,I buy my shoes to last.,5
197,This boots appeared great but too small.,7
198,I have always been a 8,7
199,but even with a very thin sock they were really tight.,7
200,Plus the insole was oversized,4
201,and would have to be trimmed.,4
202,I am disappointed,5
203,because they looked and felt like great boots.,3
204,Great price too,6
205,but BE AWARE.,5
206,The seller accepted a return,6
207,but I had to pay the shipping.,6
208,That cost a third of the price of the boot.,6
209,Also boots,5
210,sent in oversized mailing envelope,5
211,(which is destroyed,5
212,"when opening),",5
213,would have been nice,5
214,if they had packed one in for a return.,5
215,I had to hunt for a box,5
216,to return in.,5
217,I would not deal with this seller again.,5
218,"I love the color and craftsmanship of this boot,",0
219,however it runs about a half size small.,7
220,I bought boot socks,5
221,to wear this,5
222,and there is no way,5
223,to fit them in and my feet too.,7
224,However my roommate,5
225,who is a half to full size smaller,7
226,says,5
227,it fits great for her.,1
228,So definitely order up!,5
229,Although some other reviews scared me,5
230,"before buying this product,",5
231,I am very pleased with my new rain boots.,5
232,"They fit very comfortably, even with thicker socks.",1
233,I really like the buckle,4
234,and think,3
235,it gives the boots some cute flair.,3
236,I definitely recommend this product to anyone,5
237,who wants to have high-quality rain boots,2
238,without paying an absurd about of money.,6
239,I bought these shoes from Comet shoes on amazon.com,5
240,and wore it 2 times,2
241,before the seam came apart from the sole.,2
242,All this after just 2 regular wears...,2
243,not even a strenuous hike!,5
244,I suspect,5
245,Comet shoes is are selling counterfeit products,5
246,because Merrell shoes are more reliable.,5
247,I would not be surprised,5
248,if other sellers are,5
249,following a similar practice.,5
250,I filed,5
251,a complain about this was told there's nothing,5
252,you can do,5
253,to help,5
254,because it's been 90 days since my purchase.,5
255,It's shameful,5
256,that they only look at the date of sale and not the usage,5
257,before making a refund decision.,5
258,"These are extremely comfortable boots,",1
259,"I did order a half size larger,",7
260,I love them ;,5
261,"however, I bought them in February",5
262,and by April the inside fabric of the heel area of my right boot is torn,2
263,and falling apart.,2
264,"Obviously, a poorly made shoe or inferior materials.",4
265,I liked these shoes for the fit and comfort.,1
266,"They were waterproof at first,",8
267,but after wearing them for a few months they became quite leaky.,8
268,So,5
269,if you need something waterproof you,8
270,should probably look elsewhere.,5
271,I have hard to fit feet,5
272,since I need orthotics.,5
273,These are a little smaller,1
274,"than I'd like,",1
275,but generally ok.,1
276,I like the heel support and the height is just right to provide support,1
277,without rubbing.,1
