,sentence,aspect
0,The keyboard is inexpensive and probably fine,8
1,unless you are a touch typist.,7
2,"Then it has a few quite annoying quirks, such as backspace key",4
3,"is too small,",4
4,and the set of Insert/Delete/Home / End/PageUp/PageDown has an extra row of keys on a top.,4
5,Somehow it gets quite annoying,3
6,when you type fast and type a lot.,3
7,"So,",7
8,"after using this keyboard for about a week,",7
9,I'll be returning it back.,7
10,I'll be getting Dell USB keyboard instead.,7
11,This keyboard is perfect,7
12,if you hammer away for hours on end,7
13,and are looking for something stiff and sturdy,0
14,that feels like it will last for years.,0
15,"I, on the other hand, find it to be too stiff.",3
16,"It's an plain-looking, solidly-built thing,",5
17,"and I will keep it as a back-up,",7
18,but this won't be a daily-use keyboard for me.,7
19,It simply requires too much effort,3
20,to press each key.,3
21,If you do a lot of typing this keyboard's layout,4
22,can become frustrating.,4
23,"The backspace key is really small,",4
24,and the insert/delete / home/end,4
25,/ etc. cluster is one row lower than usual.,4
26,"Also, the spacebar does squeak slightly as the other reviewer mentioned.",6
27,But,7
28,if you don't mind the layout,4
29,"and aren't going to be typing 8 hours a day,",7
30,then you'll probably have no complaints.,7
31,"When my computer started randomly ignoring keystrokes on my old OEM multimedia keyboard,",7
32,I decided to get this Kensington Keyboard for Life,7
33,"to replace it due to it having a number pad but still being a smaller form-factor than the old keyboard,",4
34,leaving more room on the keyboard tray for mouse and mouse pad.,4
35,I've been very pleased with the product,7
36,and it seems to not only work well,7
37,"but "" feel "" well, too.",3
38,"Good construction,",0
39,and truly anticipate it having a very long life.,0
40,This is a really surprising find!.. a computer keyboard,7
41,that is not all plastic.. actually,0
42,has weight to it...,0
43,does not move around when you type.. and stays cleaner than my last 70. 00 microsoft keyboard.,7
44,This is a very affordable keyboard,8
45,that will provide you with many hours of dependability...,7
46,BUY IT!,7
47,"I purchased a Microsoft Wired PS/2 Keyboard from Amazon.com one month ago,",7
48,to replace two previous keyboards,7
49,(another brand),7
50,which were unsatisfactory due to fading or chipping of the letters from the most frequently used keys.,7
51,I presumed,7
52,that a `` name brand '',7
53,(Microsoft) keyboard,7
54,"would be of superior quality,",7
55,giving me longer service.,7
56,I was wrong.,7
57,"My previous `` generic brand '' keyboards lasted 6 to 8 months each,",7
58,before certain frequently used,7
59,letters disappeared from the keys.,7
60,"My Microsoft PS/2 keyboard had been in service just one month,",0
61,and 5 or 6 frequently used,0
62,letters are already faded to the extent,0
63,that they are likely to disappear completely in another month.,0
64,I am extremely disappointed in the quality of the Microsoft keyboard,0
65,I recently purchased from Amazon.com.,7
66,"A cheaply-made, flimsy keyboard.",0
67,This keyboard -,7
68,although it is functional -,7
69,is not worth the fifteen bucks.,8
