,sentence,aspect
0,I have owned this TV for about 10 months,5
1,and am currently looking to replace it.,5
2,The sound is TERRIBLE.,8
3,Even though the volume goes to 100.,8
4,The actual sounds tops out around 25,8
5,(the rest is for show).,5
6,"I tried hooking up external speakers,",8
7,but it just amplifies the static & makes the problem worse.,8
8,The picture quality is also very rapidly decreasing,4
9,(fuzzy).,4
10,Also DISH Networks universal remote is NOT compatible with this set.,3
11,So plan on keeping 2,5
12,around if using DISH.,5
13,Finally...,5
14,Check out MAGNAVOX's own website.,2
15,They don't even offer support for this TV.,2
16,Should say something about the quality.,5
17,"If you're lookng for an inexpensive HDTV,",6
18,stay away from this one.,6
19,Spend the extra money,5
20,and get a good TV.,5
21,The sound on this is horrendous.,8
22,I have a 10 year old CRT television with much better sound than this.,8
23,Don't even bother with the stereo sound,8
24,because it drowns out all the voices in movies.,8
25,I've had this set for a few years,5
26,and have had only one major problem with it.,5
27,That problem is with the magnitude of the volume.,8
28,"The sound quality isn't so great, either,",8
29,but sometimes the volume is so low,8
30,"that you can barely hear it,",8
31,even if the volume is turned all the way up.,8
32,"To be fair,",5
33,part of the problem is with my cable service,5
34,"(at & t ; Uverse),",5
35,which uses STB boxes,5
36,that emit lower sound levels than others,5
37,I 've,5
38,used in the past,5
39,(mainly Comcast).,5
40,"However,",5
41,"it's always had this problem, regardless of the STB box used,",5
42,and I don't have this problem with STB's connected to other televisions.,5
43,"It's really disappointing,",5
44,"because otherwise, this would be a nice, little television.",5
45,I've even,5
46,tried hooking it up,5
47,"using different connections,",5
48,but the problem persists.,5
49,"Because of this problem, I wouldn't recommend it to anyone.",5
50,"I can't speak for its longevity,",5
51,"because it is a recent purchase,",5
52,but I found this tv on sale for under $ 200,6
53,and it is exactly what I wanted for our second tv in the bedroom.,5
54,Picture and sound are both acceptable,8
55,when hooked up straight to a cable line,1
56,without digital or HD cable.,5
57,I refuse to pay for HD,5
58,when all I plan to watch,5
59,is the news and Leno!,5
60,Set up was extremely easy and the remote is simple to use.,3
61,Simply plug it in,3
62,and tune to a channel.,3
63,It gets 4 stars,5
64,"because I don't think its worth the price offered here,",6
65,but for what I paid its perfect.,6
66,I bought one of these last Summer,5
67,to watch,5
68,while running on my treadmill.,5
69,It's great for casual TV watching.,5
70,I doubt,5
71,"it's the best LCD TV out there,",5
72,but I can find nothing offensive about it,5
73,and I can watch it for hours.,5
74,Typicially I run the sound through my stereo system,8
75,"and avoid the use of the speakers altogether,",8
76,which as others have pointed out are weak.,8
77,The surprise came,5
78,when my eight year old computer monitor became unuseable,1
79,and I was able to use this little TV for a computer monitor on a temporary basis.,1
80,"It is a better computer monitor, in my opinion,",5
81,than many 15 '' built for the purpose LCD computer monitors.,5
82,I was able to use it for telecommuting all day for several days.,5
83,"So, for a good if not great TV and a rather nice backup computer monitor, this to me is a good deal at the price.",6
84,"But, do yourself a favor and if at all possible buy a multi-year service contract.",5
85,I wish more people waited 6 months to review.,5
86,We bought this TV last fall,5
87,and we loved it.,5
88,"Great price, good picture, easy to install with Netflix.",4
89,We had read about some Toshiba power problems,5
90,and wondered,5
91,if that would be us.,5
92,"Well, guess what?",5
93,It started to shut off on its own in May.,3
94,Then it wouldn't shut off.,3
95,Then it started shutting on and off repeatedly over and over.,3
96,It gets progressively worse with time.,5
97,We can do nothing with it at this point.,5
98,I'm pretty sure,5
99,Toshiba is going to do to me,2
100,what it seems to do to everyone,2
101,who calls -,2
102,they act,2
103,like they 've,2
104,"never heard of it,",2
105,even though there are forums,5
106,everywhere mentioning this issue -,5
107,including Toshiba's own forum.,5
108,"Got a great price,",6
109,but can't do this once a year.,5
110,Better to spend $ 600 on a better brand,5
111,than to throw $ 300 a year at this one.,5
112,Just got the TV.,5
113,Picture and sound are nice.,8
114,Its in a bedroom sized family room.,5
115,There is a slight hum from the TV,8
116,(I double checked with everything else off).,5
117,At low volumes its more noticible.,8
118,Its a common problem just do a search,5
119,on humming for the model.,8
120,If you turn backlight all the way down it gets better.,8
121,"Also, I did notice",5
122,while watching an action movie,5
123,(Swordfish),5
124,the sound did not always keep up.,8
125,Its a very slight gap in sound almost like,8
126,when they just delete a bad word out,5
127,and dont replace it with anything else,5
128,(not the case on this movie).,5
129,It happened a couple of times,5
130,and I dont have a high definition cable box yet.,5
131,It may not happen,5
132,if i use a HDMI cable?,5
133,Its a decent TV for the money but the hum is an issue.,5
134,Picture is great...,4
135,But...,5
136,when I turn up the bass the body of the TV,8
137,vibrates.,8
138,It vibrates to the point of I,8
139,had to turn off the TV speakers,8
140,and use external sound system.,8
141,If you're buying this unit online do,5
142,n't throw the box away!,5
143,You may need to ship it back.,5
144,I returned my first unit back to the store,5
145,to exchange my TV,5
146,and saw four other open box units.,5
147,I'm just putting two and two together.,5
148,This is a great tv.,5
149,Sound and picture quality are very satisfactory.,8
150,"You have different sound and picture settings for different purposes,",8
151,"gaming, movie, sports etc..",5
152,"Since the frame is also black,",7
153,it seems larger than 32 '' at first sight :D.,7
154,There is only one problem,5
155,which is rare.,5
156,When you try to switch the input,1
157,"(from HDMI to cable etc.),",5
158,the screen goes black.,1
159,In that case you should shut down the TV,5
