,sentence,aspect
0,I have never hated a product more than this one.,5
1,It is so loud,4
2,that it hurts your ears.,4
3,The dirt is just blown around,7
4,and you spend all of your time revacuuming spots.,7
5,I am getting rid of it.,5
6,Don't waste your money!!!,5
7,This stick vac is powerful alright.,7
8,The problem is,5
9,that the opening on the bottom of the unit is too small.,5
10,"Forget about corners,",5
11,unless you are positioned right over,5
12,what you intend to vacuum,5
13,it won't get sucked up.,7
14,It is way too loud and blows all of the dog hair and dirt all over the floor.,4
15,I am returning it an,5
16,getting something else!,5
17,The Power Stick has great suction,7
18,but the opening is only about 3 inches wide,5
19,so it takes longer to clean a room then,5
20,it would with some other products.,5
21,It does a good job though with cat hair and bits of kitty litter.,5
22,The noise,4
23,that others complain about,4
24,doesn't bother me but my cat runs and hides,4
25,whenever I turn it on.,5
26,It's very lightweight,8
27,but I wish,0
28,the handle was a little longer.,0
29,I find myself stooping a bit,3
30,when I use,5
31,it and I'm only 5 ' 4 ''.,5
32,"I love this vacuum for quick clean ups,",5
33,of which I have many.,5
34,I have two dogs and a cat,5
35,so there's always hair and litter somewhere.. this is a quick alternative,5
36,to pulling out the big vacuum.,5
37,"It's very light weight,",8
38,works well,5
39,and has a nice long cord.,3
40,The only downside is,5
41,"that unlike the big vacuum, there's no skinny attachment to get into the corners.. but it's a small downside,",0
42,I just gab the dust buster or broom to compensate.,5
43,I am able to vacuum more often,5
44,(my `` big '' vacuum,5
45,is really big and powerful,5
46,and heavy..),5
47,"and more quickly, so all in all",5
48,it helps trendmously.,5
49,It works.,5
50,Strong power for a small device.,7
51,I bought it for my laminate floors,5
52,because I researched,5
53,that you should not use a vacuum with a beater bar on these floors.,5
54,I just installed the floors,5
55,and wanted to protect them.,5
56,"As far as loud, yeah it's pretty loud, but nothing unbearable.",4
57,I think,5
58,some people can be just too sensitive.,5
59,Probably not louder than a regular vacuum.,4
60,But I bought it for the power.,7
61,I want it to work and not be weak.,7
62,"So far, it delivers.",7
63,Great for the price.,6
64,I have had this vacuum for approximately 4 months,5
65,and it has been nothing but trouble.,5
66,"It does have excellent suction however,",7
67,I spend more time replacing the belt,1
68,or taking the entire thing apart to dislodge a clog in the tubes,1
69,that consists of nothing larger than lint and hair.,5
70,When the tubes get clogged,5
71,(which is very often),5
72,the only way,5
73,you can tell,5
74,is,5
75,that instead of sucking the dirt into the canister it blows it all over the room.,5
76,This is the worst experience with an appliance,5
77,I have ever had.,5
78,I will NEVER buy another Bissell.,5
79,Well I have had this vaccum for just over a month,1
80,and it has died on me.,1
81,I was using it,5
82,and the brush on the inside stopped spinning,1
83,(the clear front allows you to see the brush,5
84,moving,5
85,"while it is vaccuming,",5
86,to see the dirt,5
87,I suppose),5
88,and an awful burning rubber smelled came from it.,5
89,I checked all over for clogs or something,5
90,wrapped around the inside,5
91,but found nothing.,5
92,Also it is very loud,4
93,compared to my old vaccum.,5
94,Until now the noise was my only complaint.,4
95,I need to get another one,5
96,and it won't be a bissell.,5
97,I should start by saying,5
98,that my last,5
99,(and only),5
100,vacuum,5
101,before this was a canister.,5
102,"Maybe I shouldn't expect this to perform as well on hard floor, I don't know.",5
103,This cleaned the carpet really well and,7
104,-- like the other reviewers said,5
105,--,5
106,pulled up a shocking amount of crud and dust.,7
107,"The hardwood was another matter, though.",5
108,"It seemed to do an almost adequate job on small crummy stuff,",7
109,but would not pick up anything rice krispy size ir bigger.,7
110,"As a mother of 4 small kids, I need a vacuum",5
111,that will pick cereal bits and other food crumbs.,5
112,This also performed better on the tile and vinyl floors that on the hardwood.,7
113,I would not recommend this,5
114,if your house,5
115,(like mine),5
116,is mostly hardwood.,5
117,"If you have wall-to-wall carpet in most of the house, though,",5
118,this would be a good choice.,5
119,Good vacuum.,5
120,Easy assembly with just one screw.,3
121,"Not as noisy as the Hoover monster it replaced, good tools",4
122,that really work on upolstry.,0
123,Real long cord gets around the house.,3
124,It's fun,5
125,to watch the little red,5
126,a green light tell you,0
127,when the floor is clean.,0
128,Filters?,0
129,I guess,0
130,we got,0
131,"ta have them now,",0
132,but they do need attention.,0
133,This was definitely a good purchase so far...,5
134,I love this vacuum.,5
135,It's not too noisy,4
136,and it does a great job.,7
137,The dirt sensor works so well.,0
138,"Usually, I just vacuum along,",5
139,making sure to get the visible dirt.,5
140,"With the dirt sensor, I know",0
141,I'm getting the carpet clean.,0
142,I couldn't believe,5
143,how much dirt I got out of the carpets the first time,5
144,I used it!,5
145,I also like how well it fluffs up the pile of the carpet.,5
146,This little vacuum would be great,5
147,if it ACTUALLY vacuumed up anything.,7
148,"Does a poor job on my wood floors, my old fashioned broom does a better job.",7
149,"As for carpeting, doesn't pick up anything.",7
150,And pet hair?,7
151,Forget it.,5
152,A big waste of money.,5
153,I'd rate,5
154,it zero stars,5
155,"if I could,",5
156,I 'm,5
157,tossing it.,5
158,I had this vacuum for 2 years,5
159,"and it still works,",5
160,but I can't use it.,5
161,The handle was always a weak point and it eventually broke -,1
162,so I have been,5
163,using it duct,5
164,"taped together,",5
165,which was ok,5
166,until the area,1
167,"where the bottom connects to the body also broke,",1
168,rendering it useless.,1
169,I am going to have to add it to a landfill,5
170,and buy a new one.,5
171,I am disappointed,5
172,since it was nice and light - good for carrying up to our loft and small enough,8
173,to fit in the closet and powerful enough,7
174,to clean up cat hair.,7
175,This is the second Shark stick vac,5
176,I have owned.,5
177,My first one worked great for about 5 years.,5
178,Towards the end of its run it wouldn't suck very well,5
179,and was consistently getting clogged.,5
180,In the end the motor burned out.,5
181,This vac is great for tile and hardwood floors,5
182,so we purchased another one.,5
